POSTCODE;LAT;LON
1436;52,2748623;4,7543385
1437;52,2813725;4,7366682
1438;52,2887755;4,7845434
1441;52,5026409;4,9525804
1442;52,5146366;4,9619745
1443;52,5087321;4,9711280
1444;52,5229770;4,9640950
1445;52,5031869;4,9825967
1446;52,5120295;4,9951581
1447;52,4922865;4,9686178
1448;52,4969850;4,9391145
1451;52,4802744;4,9239802
1452;52,4663828;4,9547386
1454;52,4331801;4,9546892
1456;52,5037143;4,9086712
1458;52,5352300;4,8488547
1461;52,5203550;4,9426440
1462;52,5487628;4,9170799
1463;52,5923773;4,9448861
1464;52,5614869;4,8819430
1471;52,5283157;4,9871650
1472;52,5356917;5,0200273
1473;52,5629382;5,0292136
1474;52,5714863;4,9978885
1475;52,5885302;4,9764643
1476;52,5982610;5,0163504
1477;52,5470604;4,9839011
1481;52,5147347;5,0311299
1482;52,4836892;5,0053920
1483;52,5571256;4,8468980
1484;52,5614278;4,8343630
1485;52,5744100;4,8362499
1486;52,5554449;4,7977144
1487;52,5463043;4,8194632
1488;52,5442646;4,8039556
1489;52,5470349;4,7778904
1501;52,4380984;4,8331064
1502;52,4463128;4,8271795
1503;52,4474119;4,8404326
1504;52,4370697;4,8508486
1505;52,4309662;4,8402569
1506;52,4424132;4,8190911
1507;52,4422710;4,8042704
1508;52,4586310;4,8233287
1509;52,4695150;4,8346249
1511;52,4402257;4,8760278
1521;52,4948437;4,7919255
1525;52,5172601;4,7828726
1531;52,4968376;4,8114776
1534;52,5179949;4,7934245
1536;52,5307684;4,7820202
1541;52,4609844;4,8039986
1544;52,4745845;4,8034744
1546;52,5076882;4,8530429
1551;52,4532677;4,7751798
1561;52,5004333;4,7663587
1562;52,5061091;4,7591464
1566;52,4734870;4,7477649
1567;52,4909974;4,7488875
1601;52,7035738;5,2868072
1602;52,7136241;5,2749340
1606;52,6675873;5,2129951
1607;52,6619742;5,1881208
1608;52,6424893;5,1638073
1609;52,6414302;5,1988330
1611;52,6952336;5,2450401
1613;52,6943383;5,2254332
1614;52,6989466;5,2056276
1616;52,6947988;5,1786561
1617;52,6852892;5,1356045
1619;52,7431964;5,2141050
1621;52,6409160;5,0603215
1622;52,6399133;5,0341168
1623;52,6441335;5,0721468
1624;52,6487733;5,0648482
1625;52,6572345;5,0553925
1627;52,6419301;5,1000552
1628;52,6532172;5,0914568
1631;52,6030433;4,9758041
1633;52,6205921;4,9553659
1634;52,6238510;5,0130332
1636;52,6023728;4,8897306
1641;52,6473764;4,9412599
1642;52,6512591;4,9561900
1643;52,6607013;4,9444793
1645;52,6296217;4,8964620
1646;52,6260452;4,8803502
1647;52,6443708;5,0007308
1648;52,6295576;4,9499555
1652;52,6657592;4,9796683
1654;52,7044319;5,0273642
1655;52,7061804;5,0027687
1657;52,7314346;5,0184186
1658;52,7489274;5,0203597
1661;52,7351184;4,9865733
1662;52,7254223;4,9982945
1663;52,7229618;5,0020995
1671;52,7670378;5,1056754
1674;52,7595993;5,0778405
1676;52,7424872;5,0567652
1678;52,7282045;5,0939060
1679;52,7170113;5,0740847
1681;52,7070248;5,1510546
1682;52,6966093;5,1089190
1683;52,7078183;5,1395306
1684;52,7009166;5,1253177
1685;52,6765022;5,0615442
1686;52,6785583;5,0635630
1687;52,6838504;5,0220461
1688;52,6933330;5,0584041
1689;52,6677268;5,0638630
1691;52,7082905;5,1024325
1692;52,7215080;5,1217607
1693;52,7339030;5,1507086
1695;52,6631639;5,0887429
1696;52,6693551;5,1173005
1697;52,6381501;5,1232197
1701;52,6738348;4,8513693
1702;52,6656633;4,8396318
1703;52,6591466;4,8259915
1704;52,6798896;4,8303839
1705;52,6484707;4,8259559
1706;52,6671561;4,8646226
1711;52,6576740;4,8904212
1713;52,6757558;4,9051405
1715;52,7002233;4,9537663
1716;52,7055352;4,9442178
1718;52,7186133;4,9396405
1719;52,7490558;4,9585798
1721;52,6794424;4,8054744
1722;52,6916714;4,8094933
1723;52,7024504;4,8112579
1724;52,7120990;4,8004858
1731;52,7548966;4,9060943
1732;52,7723720;4,8863406
1733;52,7419983;4,8999214
1734;52,7201985;4,8811974
1735;52,7416792;4,8576284
1736;52,7445439;4,8393889
1738;52,7285634;4,8312223
1741;52,7916419;4,8014966
1742;52,7839353;4,7894888
1744;52,7656175;4,7515042
1746;52,7483072;4,7827219
1747;52,7371707;4,7545032
1749;52,7223053;4,7378494
1751;52,8053765;4,7593350
1752;52,7842270;4,7261252
1753;52,7901316;4,7057258
1754;52,7538243;4,6981858
1755;52,7690288;4,6623574
1756;52,8380026;4,7584174
1757;52,8297943;4,8098939
1759;52,8452242;4,7088059
1761;52,8629345;4,8257932
1764;52,8901661;4,8122067
1766;52,8345535;4,8661568
1767;52,7938300;4,8924498
1768;52,7884976;4,8560730
1769;52,7701293;4,8272234
1771;52,8514167;5,0365091
1773;52,8423393;5,0827874
1774;52,8521542;4,9740062
1775;52,8061431;5,0034947
1777;52,9098607;4,9665148
1778;52,8929385;4,9307954
1779;52,9339437;5,0293614
1781;52,9569547;4,7677227
1782;52,9571828;4,7550992
1783;52,9439701;4,7361373
1784;52,9399736;4,7450427
